locationid,location,parameter,value,dateutc,datelocal,unit,latitude,longitude,country,city,ismobile,isanalysis,entity,sensortype
1092284,Wellington Place (elev: 90m),um050,0.0158620689655172,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.6372413793103446,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0575862068965517,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,13.44137931034483,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,4.084827586206896,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,995.033103448276,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,15.648275862068964,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,9.065517241379313,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,14.055862068965515,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,48.72413793103448,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.003103448275862,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,73.44137931034481,2023-12-05T21:00:00+00:00,2023-12-05T16:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0566666666666666,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,9.306666666666665,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,70.2,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.6393333333333332,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,47.2,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,14.229333333333331,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.0036666666666666,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,4.138,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,48.96666666666667,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0166666666666666,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,15.93,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,13.750000000000004,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,994.7620000000002,2023-12-05T20:00:00+00:00,2023-12-05T15:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,49.7037037037037,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0522222222222222,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,10.62962962962963,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,16.892592592592592,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,4.59962962962963,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0129629629629629,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,15.025925925925923,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,15.784074074074072,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.0029629629629629,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,67.32222222222221,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,45.96296296296296,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.6737037037037036,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,994.984074074074,2023-12-05T19:00:00+00:00,2023-12-05T14:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,11.046666666666663,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,44.16666666666666,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,48.16666666666666,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0126666666666666,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,995.137666666667,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,71.80666666666667,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0483333333333333,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.6416666666666667,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,16.969999999999995,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,16.835666666666672,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.003,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,15.18,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,4.885000000000001,2023-12-05T18:00:00+00:00,2023-12-05T13:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,17.368,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,5.027333333333333,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,15.166666666666666,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,39.23333333333333,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.6336666666666667,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.005,2023-12-05T17:00:00+00:00,2023-12-05T12:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
